,stalk-color-below-ring,stalk-shape,veil-type,gill-spacing,class,spore-print-color,stalk-surface-below-ring,ring-number,cap-shape,gill-attachment,ring-type,bruises,stalk-root,stalk-surface-above-ring,gill-color,stalk-color-above-ring,habitat,population,cap-surface,veil-color,cap-color,odor,gill-size,d-var
57,w,e,p,w,e,w,k,t,k,f,p,f,?,k,w,w,g,n,f,w,w,n,b,w
58,g,t,p,c,e,k,s,o,x,f,p,t,b,s,w,w,d,y,f,w,e,n,b,e
59,w,t,p,w,e,n,f,o,x,f,e,f,e,f,n,w,g,a,f,w,g,n,b,g
60,w,e,p,c,e,n,s,o,b,f,p,t,c,s,n,w,g,s,y,w,y,a,b,y
61,o,e,p,c,e,b,s,o,f,a,p,f,?,s,o,o,l,v,s,n,n,n,b,n
62,p,t,p,c,e,k,s,o,x,f,p,t,b,s,p,g,d,y,y,w,g,n,b,g
63,n,e,p,c,p,h,k,o,f,f,l,f,b,k,p,n,g,v,y,w,g,f,b,g
64,n,e,p,c,p,h,k,o,f,f,l,f,b,k,h,p,d,v,f,w,g,f,b,g
65,w,t,p,c,p,w,k,o,k,f,e,f,?,k,b,w,d,v,s,w,n,y,n,n
66,p,e,p,c,p,h,k,o,x,f,l,f,b,k,g,b,g,v,f,w,g,f,b,g
67,w,t,p,c,p,w,k,o,f,f,e,f,?,s,b,w,l,v,y,w,n,s,n,n
68,w,e,p,c,p,n,s,o,f,f,p,t,e,s,k,w,u,v,y,w,w,p,n,w
69,p,t,p,c,e,k,s,o,x,f,p,t,b,s,p,p,d,v,y,w,g,n,b,g
70,w,t,p,c,p,w,s,o,f,f,e,f,?,s,b,w,p,v,y,w,e,y,n,e
71,w,t,p,c,e,k,s,o,x,f,p,t,b,s,w,g,d,y,y,w,e,n,b,e
72,w,e,p,w,e,w,s,t,x,f,p,f,?,s,w,w,g,s,s,w,w,n,b,w
73,w,e,p,c,e,k,y,o,f,f,p,t,r,s,n,w,g,s,y,w,y,l,b,y
74,p,t,p,c,p,w,s,o,x,f,e,f,?,s,b,p,l,v,y,w,e,f,n,e
75,w,t,p,c,p,w,k,o,f,f,e,f,?,k,b,p,d,v,y,w,e,f,n,e
76,n,e,p,c,p,h,k,o,f,f,l,f,b,k,g,b,d,v,f,w,y,f,b,y
77,b,e,p,c,p,h,k,o,x,f,l,f,b,k,p,b,g,y,f,w,y,f,b,y
78,w,t,p,w,e,n,f,o,f,f,e,f,e,f,p,w,g,a,s,w,n,n,b,n
79,n,e,p,c,p,h,k,o,f,f,l,f,b,k,g,p,d,v,y,w,g,f,b,g
80,w,t,p,c,p,h,s,o,f,f,p,t,b,s,h,w,g,s,s,w,b,f,b,b
81,w,t,p,c,e,n,s,o,f,f,p,t,b,s,w,p,d,y,y,w,g,n,b,g
82,w,t,p,w,e,n,s,o,f,f,e,f,e,f,p,w,g,a,s,w,n,n,b,n
83,w,e,p,c,p,n,s,o,x,f,p,f,b,s,g,w,d,v,f,w,w,c,n,w
84,b,e,p,c,p,h,k,o,x,f,l,f,b,k,p,n,p,v,y,w,y,f,b,y
85,w,t,p,c,p,w,s,o,f,f,e,f,?,k,b,w,d,v,s,w,e,s,n,e
86,w,e,p,c,e,n,s,o,b,f,p,t,c,s,k,w,m,s,y,w,y,l,b,y
87,p,t,p,c,e,k,s,o,f,f,p,t,b,s,u,g,d,y,f,w,g,n,b,g
88,w,e,p,c,p,r,s,t,b,f,p,t,b,s,w,w,m,v,s,w,w,n,b,w
89,w,e,p,c,e,k,s,o,x,f,p,t,c,s,n,w,m,n,s,w,y,l,b,y
90,b,e,p,c,p,h,k,o,f,f,l,f,b,k,p,b,d,v,y,w,g,f,b,g
91,w,t,p,w,e,n,s,o,f,f,e,f,e,f,k,w,g,s,f,w,w,n,b,w
92,w,t,p,c,p,h,f,o,x,f,p,t,b,f,w,w,u,s,s,w,w,f,b,w
93,w,t,p,c,p,w,s,o,f,f,e,f,?,k,b,p,d,v,s,w,n,y,n,n
94,w,e,p,c,e,k,y,o,x,f,p,t,r,s,w,w,g,y,y,w,n,a,b,n
95,w,e,p,c,e,w,s,t,k,f,e,t,?,s,e,e,w,c,s,w,n,n,b,n
96,w,e,p,c,e,k,s,o,x,f,p,t,c,s,w,w,g,n,s,w,y,l,b,y
97,e,e,p,c,e,w,s,t,k,f,e,t,?,s,w,e,w,c,y,w,b,n,b,b
98,p,t,p,c,e,k,s,o,f,f,p,t,b,s,p,g,d,y,f,w,g,n,b,g
99,p,t,p,c,p,w,s,o,k,f,e,f,?,s,b,p,l,v,y,w,n,f,n,n
100,g,t,p,c,e,n,s,o,f,f,p,t,b,s,p,w,d,y,f,w,e,n,b,e
101,p,t,p,c,p,w,k,o,k,f,e,f,?,s,b,p,l,v,y,w,e,s,n,e
102,w,e,p,w,e,w,k,t,b,f,p,f,?,s,w,w,g,s,s,w,w,n,b,w
103,w,e,p,w,e,w,k,t,k,f,p,f,?,s,g,w,g,n,s,w,g,n,b,g
104,w,t,p,c,p,w,k,o,f,f,e,f,?,k,b,p,d,v,s,w,n,y,n,n
105,b,e,p,c,p,h,k,o,f,f,l,f,b,k,h,b,g,v,y,w,g,f,b,g
106,w,t,p,c,p,w,k,o,x,f,e,f,?,k,b,p,p,v,s,w,n,f,n,n
107,g,t,p,c,e,k,s,o,f,f,p,t,b,s,w,g,d,v,y,w,e,n,b,e
108,w,e,p,c,p,n,s,o,f,f,p,t,e,s,p,w,u,v,y,w,n,p,n,n
109,w,t,p,w,e,n,s,o,x,f,p,t,b,s,p,w,d,v,s,w,w,l,n,w
110,p,e,p,c,p,h,k,o,f,f,l,f,b,k,p,b,d,y,f,w,g,f,b,g
111,g,t,p,c,e,k,s,o,x,f,p,t,b,s,n,w,d,y,y,w,e,n,b,e
112,w,t,p,w,e,n,s,o,f,f,e,f,e,f,h,w,g,a,f,w,g,n,b,g
113,g,t,p,c,e,k,s,o,x,f,p,t,b,s,p,p,d,v,f,w,e,n,b,e
114,w,t,p,c,p,h,s,o,f,f,p,t,b,f,w,w,g,v,s,w,b,f,b,b
115,p,t,p,c,e,k,s,o,f,f,p,t,b,s,u,w,d,y,y,w,g,n,b,g
116,p,e,p,c,p,h,k,o,x,f,l,f,b,k,h,n,g,v,f,w,g,f,b,g
117,g,t,p,c,e,n,s,o,f,f,p,t,b,s,w,w,d,v,f,w,e,n,b,e
118,p,t,p,c,e,n,s,o,x,f,p,t,b,s,w,p,d,y,y,w,e,n,b,e
119,n,e,p,c,p,h,k,o,f,f,l,f,b,k,h,p,d,y,f,w,y,f,b,y
120,g,t,p,c,e,n,s,o,f,f,p,t,b,s,w,w,d,y,y,w,g,n,b,g
121,w,e,p,w,e,w,k,t,k,f,p,f,?,s,g,w,g,n,f,w,g,n,b,g
122,n,e,p,c,e,w,y,t,x,f,p,f,b,y,w,n,d,y,s,w,n,n,b,n
123,w,t,p,c,p,w,k,o,k,f,e,f,?,s,b,w,d,v,s,w,e,s,n,e
124,p,t,p,c,e,k,s,o,x,f,p,t,b,s,w,w,d,y,y,w,g,n,b,g
125,w,t,p,c,e,k,s,o,f,f,p,t,b,s,p,p,d,v,y,w,e,n,b,e
126,b,e,p,c,p,h,k,o,f,f,l,f,b,k,h,p,p,y,y,w,g,f,b,g
127,w,t,p,w,e,k,s,o,f,f,e,f,e,f,k,w,g,a,f,w,g,n,b,g
128,p,t,p,c,e,k,s,o,f,f,p,t,b,s,p,g,d,v,f,w,g,n,b,g
129,w,e,p,c,p,k,s,o,f,f,p,t,e,s,n,w,u,s,y,w,n,p,n,n
130,w,t,p,c,p,w,s,o,k,f,e,f,?,s,b,p,d,v,y,w,n,y,n,n
131,b,e,p,c,p,h,k,o,f,f,l,f,b,k,g,p,g,y,f,w,g,f,b,g
132,w,e,p,c,e,n,s,o,b,f,p,t,c,s,k,w,m,n,y,w,y,a,b,y
133,w,e,p,w,e,w,s,t,x,f,p,f,?,s,p,w,g,n,s,w,w,n,b,w
134,w,e,p,c,e,k,s,o,b,f,p,t,c,s,n,w,g,n,s,w,y,a,b,y
135,p,t,p,c,p,w,k,o,x,f,e,f,?,k,b,p,l,v,s,w,n,y,n,n
136,p,e,p,c,p,h,k,o,f,f,l,f,b,k,p,n,g,y,y,w,g,f,b,g
137,w,t,p,c,e,n,s,o,x,f,p,t,b,s,u,p,d,v,f,w,n,n,b,n
138,w,e,p,c,e,n,y,o,x,f,p,t,r,s,w,w,g,s,y,w,n,a,b,n
139,w,t,p,c,p,h,f,o,f,f,p,t,b,f,w,w,g,v,s,w,g,f,b,g
140,w,t,p,w,e,n,f,o,x,f,e,f,e,f,h,w,g,s,s,w,w,n,b,w
141,w,t,p,c,p,w,k,o,k,f,e,f,?,k,b,w,d,v,s,w,e,s,n,e
142,e,e,p,c,e,w,s,t,x,f,e,t,?,s,e,w,w,c,y,w,b,n,b,b
143,p,e,p,c,p,h,k,o,x,f,l,f,b,k,g,n,p,y,y,w,g,f,b,g
144,w,e,p,w,e,w,s,t,k,f,p,f,?,s,g,w,g,n,s,w,w,n,b,w
145,w,e,p,c,e,n,s,o,x,f,p,t,c,s,n,w,m,s,s,w,w,a,b,w
146,w,e,p,c,e,k,s,o,b,f,p,t,c,s,w,w,g,n,y,w,y,l,b,y
147,n,e,p,c,p,h,k,o,f,f,l,f,b,k,g,p,d,y,y,w,g,f,b,g
148,w,t,p,w,e,n,s,o,x,f,e,f,e,s,h,w,g,a,f,w,w,n,b,w
149,p,t,p,c,e,k,s,o,x,f,p,t,b,s,w,w,d,y,f,w,e,n,b,e
150,w,e,p,c,e,n,y,o,x,f,p,t,r,s,p,w,g,y,y,w,n,l,b,n
151,o,e,p,c,e,b,s,o,x,a,p,f,?,s,y,o,l,v,s,o,n,n,b,n
152,o,e,p,c,e,y,s,o,k,a,p,f,?,s,o,o,l,v,s,o,n,n,b,n
153,p,t,p,c,e,k,s,o,x,f,p,t,b,s,u,g,d,y,y,w,e,n,b,e
154,w,t,p,c,p,h,s,o,x,f,p,t,b,s,w,w,u,s,s,w,w,f,b,w
155,w,e,p,c,e,n,s,o,x,f,p,f,e,s,g,w,u,y,f,w,n,n,n,n
156,b,e,p,c,p,h,k,o,x,f,l,f,b,k,h,b,g,v,f,w,y,f,b,y
157,w,t,p,c,p,h,f,o,x,f,p,t,b,f,h,w,g,s,s,w,w,f,b,w
158,w,e,p,w,e,w,k,t,b,f,p,f,?,s,p,w,g,s,f,w,g,n,b,g
159,w,e,p,w,e,w,s,t,b,f,p,f,?,s,g,w,g,n,s,w,w,n,b,w
160,p,t,p,c,p,w,s,o,k,f,e,f,?,s,b,w,d,v,s,w,n,f,n,n
161,n,e,p,c,p,h,k,o,x,f,l,f,b,k,g,b,d,y,y,w,g,f,b,g
162,w,t,p,w,e,k,f,o,x,f,e,f,e,s,p,w,g,a,f,w,n,n,b,n
163,w,e,p,c,e,k,s,o,b,f,p,t,c,s,k,w,m,n,y,w,w,a,b,w
164,p,t,p,c,p,w,k,o,x,f,e,f,?,k,b,w,d,v,y,w,n,f,n,n
165,g,t,p,c,e,n,s,o,f,f,p,t,b,s,n,w,d,y,y,w,g,n,b,g
166,b,e,p,c,p,h,k,o,f,f,l,f,b,k,h,n,d,v,f,w,y,f,b,y
167,g,t,p,c,e,n,s,o,f,f,p,t,b,s,p,w,d,y,y,w,n,n,b,n
168,p,t,p,c,e,k,s,o,f,f,p,t,b,s,p,g,d,y,f,w,e,n,b,e
169,w,t,p,c,p,w,s,o,x,f,e,f,?,k,b,w,l,v,y,w,e,f,n,e
170,e,e,p,c,e,w,s,t,k,f,e,t,?,s,e,w,w,c,y,w,n,n,b,n
171,o,e,p,c,e,y,s,o,x,a,p,f,?,s,n,o,l,c,s,n,n,n,b,n
172,n,e,p,c,p,h,k,o,x,f,l,f,b,k,p,n,g,v,y,w,y,f,b,y
173,p,t,p,c,p,w,s,o,f,f,e,f,?,k,b,w,p,v,y,w,e,f,n,e
174,g,t,p,c,e,n,s,o,f,f,p,t,b,s,w,g,d,v,y,w,e,n,b,e
175,n,e,p,c,p,h,k,o,x,f,l,f,b,k,g,n,g,v,f,w,y,f,b,y
176,w,t,p,w,e,k,s,o,f,f,e,f,e,f,p,w,g,a,s,w,n,n,b,n
177,w,e,p,c,e,k,s,o,b,f,p,t,c,s,g,w,g,n,s,w,w,a,b,w
178,p,t,p,c,p,w,s,o,f,f,e,f,?,k,b,p,p,v,s,w,e,y,n,e
179,w,t,p,c,p,w,k,o,k,f,e,f,?,s,b,w,p,v,y,w,n,f,n,n
180,p,t,p,c,p,w,k,o,f,f,e,f,?,s,b,w,d,v,y,w,n,f,n,n
181,w,e,p,c,e,k,y,o,f,f,p,t,r,s,p,w,p,y,y,w,y,a,b,y
182,g,t,p,c,e,n,s,o,x,f,p,t,b,s,u,p,d,y,y,w,n,n,b,n
183,w,e,p,c,e,k,s,o,x,f,p,t,c,s,w,w,g,s,s,w,w,l,b,w
184,w,e,p,c,p,r,s,t,f,f,p,t,b,s,g,w,g,v,y,w,b,n,b,b
185,w,t,p,c,p,w,s,o,x,f,e,f,?,s,b,w,p,v,s,w,n,f,n,n
186,w,t,p,c,e,k,s,o,f,f,p,t,b,s,w,g,d,v,f,w,n,n,b,n
187,p,t,p,c,p,w,k,o,x,f,e,f,?,s,b,w,d,v,s,w,n,s,n,n
188,b,e,p,c,p,h,k,o,f,f,l,f,b,k,h,b,d,y,y,w,y,f,b,y
189,p,e,p,c,p,h,k,o,f,f,l,f,b,k,g,b,g,v,f,w,g,f,b,g
190,w,t,p,c,p,w,s,o,x,f,e,f,?,k,b,w,l,v,s,w,e,s,n,e
191,p,t,p,c,p,w,s,o,x,f,e,f,?,s,b,p,d,v,y,w,e,s,n,e
192,g,t,p,c,e,k,s,o,f,f,p,t,b,s,p,g,d,y,f,w,n,n,b,n
193,p,t,p,c,p,w,k,o,f,f,e,f,?,s,b,p,l,v,y,w,n,y,n,n
194,b,e,p,c,p,h,k,o,x,f,l,f,b,k,g,p,g,v,f,w,y,f,b,y
195,b,e,p,c,p,h,k,o,f,f,l,f,b,k,p,p,p,v,f,w,y,f,b,y
196,w,e,p,c,e,n,y,o,x,f,p,t,r,s,p,w,p,y,y,w,n,a,b,n
197,w,e,p,w,e,w,s,t,b,f,p,f,?,s,p,w,g,n,s,w,w,n,b,w
198,w,t,p,c,p,w,s,o,k,f,e,f,?,s,b,p,l,v,y,w,e,y,n,e
199,w,t,p,c,p,w,k,o,k,f,e,f,?,k,b,w,l,v,y,w,n,y,n,n
200,g,t,p,c,e,k,s,o,f,f,p,t,b,s,n,w,d,y,y,w,e,n,b,e
201,w,e,p,w,p,n,s,o,x,f,p,f,b,s,p,w,d,s,f,w,w,c,n,w
202,w,e,p,c,p,k,s,o,x,f,p,t,e,s,k,w,g,s,s,w,w,p,n,w
203,w,t,p,c,e,n,s,o,x,f,p,t,b,s,w,p,d,y,y,w,n,n,b,n
204,w,e,p,c,e,n,s,o,b,f,p,t,c,s,n,w,g,s,y,w,w,l,b,w
205,w,t,p,c,p,w,s,o,x,f,e,f,?,s,b,p,d,v,s,w,n,s,n,n
206,p,t,p,c,e,n,s,o,f,f,p,t,b,s,p,w,d,v,f,w,e,n,b,e
207,w,e,p,c,e,n,s,o,b,f,p,t,c,s,g,w,g,n,y,w,y,l,b,y
208,b,e,p,c,p,h,k,o,x,f,l,f,b,k,h,p,p,y,f,w,y,f,b,y
209,w,t,p,c,p,w,k,o,x,f,e,f,?,s,b,w,d,v,y,w,n,s,n,n
210,p,t,p,c,e,k,s,o,f,f,p,t,b,s,u,w,d,v,f,w,e,n,b,e
211,w,t,p,w,e,k,s,o,x,f,e,f,e,s,h,w,g,a,f,w,g,n,b,g
212,w,t,p,w,e,n,f,o,f,f,e,f,e,f,n,w,g,s,f,w,g,n,b,g
213,w,t,p,c,p,h,f,o,x,f,p,t,b,s,p,w,u,v,s,w,w,f,b,w
214,w,t,p,c,p,w,k,o,k,f,e,f,?,k,b,w,p,v,y,w,e,y,n,e
215,p,t,p,c,p,w,s,o,k,f,e,f,?,k,b,w,l,v,y,w,e,y,n,e
216,b,e,p,c,p,h,k,o,f,f,l,f,b,k,p,n,d,y,f,w,g,f,b,g
217,w,t,p,w,e,u,s,o,x,f,p,t,b,s,p,w,d,v,s,w,w,l,n,w
218,w,t,p,c,e,n,s,o,f,f,p,t,b,s,u,g,d,v,f,w,g,n,b,g
219,w,t,p,c,p,w,s,o,x,f,e,f,?,k,b,p,d,v,y,w,e,f,n,e
220,w,t,p,w,e,k,s,o,x,f,e,f,e,f,n,w,g,s,s,w,n,n,b,n
221,w,t,p,c,p,w,s,o,k,f,e,f,?,k,b,w,d,v,s,w,e,f,n,e
222,w,t,p,c,e,k,s,o,x,f,p,t,b,s,w,g,d,y,f,w,e,n,b,e
223,w,e,p,w,e,w,s,t,x,f,p,f,?,k,p,w,g,n,f,w,w,n,b,w
224,g,t,p,c,e,n,s,o,f,f,p,t,b,s,n,p,d,v,y,w,n,n,b,n
225,p,t,p,c,p,w,s,o,x,f,e,f,?,k,b,p,d,v,s,w,e,s,n,e
226,o,e,p,c,e,y,s,o,b,a,p,f,?,s,n,o,l,c,s,n,n,n,b,n
227,b,e,p,c,p,h,k,o,x,f,l,f,b,k,p,n,p,y,f,w,y,f,b,y
228,w,e,p,c,p,n,s,o,f,f,p,t,e,s,k,w,g,s,y,w,w,p,n,w
229,w,t,p,c,e,k,s,o,f,f,p,t,b,s,n,g,d,v,f,w,n,n,b,n
230,n,e,p,c,p,h,k,o,x,f,l,f,b,k,g,p,g,v,f,w,g,f,b,g
231,w,e,p,c,e,k,s,o,f,f,p,f,e,s,g,w,u,y,f,w,n,n,n,n
232,p,t,p,c,p,w,s,o,x,f,e,f,?,k,b,w,l,v,s,w,n,f,n,n
233,w,t,p,c,p,w,k,o,f,f,e,f,?,s,b,p,d,v,s,w,n,y,n,n
234,w,e,p,c,p,k,s,o,x,f,p,t,e,s,k,w,u,v,y,w,n,p,n,n
235,g,t,p,c,e,k,s,o,f,f,p,t,b,s,n,g,d,y,y,w,g,n,b,g
236,p,t,p,c,e,k,s,o,x,f,p,t,b,s,u,w,d,y,f,w,e,n,b,e
237,w,t,p,c,e,n,s,o,f,f,p,t,b,s,n,p,d,v,y,w,g,n,b,g
238,w,e,p,c,e,n,s,o,s,f,p,f,e,s,g,w,u,v,f,w,n,n,n,n
239,b,e,p,c,p,h,k,o,f,f,l,f,b,k,p,n,p,y,y,w,y,f,b,y
240,w,e,p,c,e,n,s,o,x,f,p,t,c,s,w,w,m,n,s,w,y,l,b,y
241,p,e,p,c,p,h,k,o,f,f,l,f,b,k,p,n,d,v,y,w,y,f,b,y
242,p,t,p,c,p,w,s,o,x,f,e,f,?,k,b,p,d,v,s,w,n,s,n,n
243,n,e,p,c,p,h,k,o,f,f,l,f,b,k,g,b,p,y,y,w,y,f,b,y
244,w,e,p,c,e,n,s,o,b,f,p,t,c,s,g,w,g,n,y,w,w,a,b,w
245,w,t,p,c,p,w,s,o,k,f,e,f,?,s,b,w,p,v,y,w,n,y,n,n
246,n,e,p,c,p,h,k,o,x,f,l,f,b,k,h,p,g,y,f,w,g,f,b,g
247,w,e,p,c,e,n,s,o,x,f,p,t,c,s,w,w,g,s,y,w,w,a,b,w
248,w,e,p,c,e,w,s,t,f,f,e,t,?,s,e,w,w,c,s,w,b,n,b,b
249,w,t,p,c,p,w,s,o,f,f,e,f,?,s,b,w,d,v,y,w,e,s,n,e
250,p,t,p,c,e,k,s,o,f,f,p,t,b,s,w,g,d,y,f,w,n,n,b,n
251,w,e,p,c,e,n,s,o,x,f,p,t,c,s,k,w,g,s,s,w,y,a,b,y
252,p,t,p,c,e,n,s,o,x,f,p,t,b,s,w,p,d,y,f,w,e,n,b,e
253,w,e,p,c,e,w,s,t,x,f,e,t,?,s,e,w,w,c,y,w,n,n,b,n
254,g,t,p,c,e,k,s,o,f,f,p,t,b,s,n,p,d,v,y,w,e,n,b,e
255,w,e,p,w,p,n,s,o,x,f,p,f,b,s,u,w,d,v,f,w,p,c,n,p
256,g,t,p,c,e,n,s,o,x,f,p,t,b,s,n,p,d,v,y,w,n,n,b,n
257,g,t,p,c,e,n,s,o,x,f,p,t,b,s,u,p,d,v,f,w,g,n,b,g
258,p,t,p,c,p,w,k,o,f,f,e,f,?,k,b,p,p,v,y,w,n,y,n,n
259,n,e,p,c,p,h,k,o,x,f,l,f,b,k,p,n,p,y,y,w,g,f,b,g
260,w,e,p,c,p,r,s,t,b,f,p,t,b,s,g,w,m,v,y,w,b,n,b,b
261,w,t,p,c,p,h,f,o,x,f,p,t,b,s,h,w,u,s,s,w,b,f,b,b
262,g,t,p,c,e,k,s,o,x,f,p,t,b,s,u,g,d,y,f,w,e,n,b,e
263,n,e,p,w,e,w,f,o,f,f,e,f,b,f,w,w,l,v,y,w,n,n,n,n
264,p,t,p,c,e,n,s,o,f,f,p,t,b,s,w,w,d,y,f,w,e,n,b,e
265,w,t,p,c,e,k,s,o,x,f,p,t,b,s,w,g,d,v,f,w,n,n,b,n
266,g,t,p,c,e,n,s,o,f,f,p,t,b,s,u,g,d,v,f,w,n,n,b,n
267,w,t,p,c,e,n,s,o,f,f,p,t,b,s,n,g,d,y,f,w,g,n,b,g
268,p,e,p,c,p,h,k,o,x,f,l,f,b,k,h,b,d,y,y,w,g,f,b,g
269,w,e,p,w,e,w,k,t,x,f,p,f,?,s,g,w,g,n,s,w,w,n,b,w
270,p,t,p,c,p,w,k,o,x,f,e,f,?,s,b,p,d,v,s,w,n,s,n,n
271,e,e,p,c,e,w,s,t,x,f,e,t,?,s,e,e,w,c,y,w,n,n,b,n
272,p,t,p,c,e,n,s,o,f,f,p,t,b,s,u,g,d,y,f,w,e,n,b,e
273,w,e,p,c,e,k,y,o,x,f,p,t,r,s,n,w,g,s,y,w,n,a,b,n
